prompt,script
"Create a new file test.json in the current directory with the content {""name"": ""test""}","#!/bin/bash
echo '{ ""name"": ""test"" }' > ./test.json"
Count the number of 'x' characters in a.txt in the current directory,"#!/bin/bash

grep -o 'x' a.txt | wc -l"
Count all the lines of all '*.c' files in current directory recursively,"#!/bin/bash

find . -name ""*.c"" -print0 | xargs -0 cat | wc -l"
Add 'prefix_' to every non-blank line in file.txt in the current directory,"#!/bin/bash

sed -i -e '/^$/!s/^/prefix_/' file.txt"
Add a line number to every line in file.txt in the current directory,"#!/bin/bash

awk '{print NR"" ""$0}' file.txt > temp_file && mv temp_file file.txt"
Add line numbers to each non-blank line in file.txt in the current directory starting with number 101,"#!/bin/bash

awk 'BEGIN{counter=101} !/^\s*$/{print counter"" ""$0; counter++} /^\s*$/{print}' file.txt > temp_file && mv temp_file file.txt"
Display only the content of file.txt in the present directory,"#!/bin/bash

cat file.txt"
Print md5 sum of file file.txt in the current directory,"#!/bin/bash

md5sum file.txt"
Calculate and show md5 sums for every files under current directory tree,"#!/bin/bash

find dir -type f -exec md5sum {} +"
Change permissions to 766 for all directories in the /app/dir directory,"#!/bin/bash

find dir -type d -exec chmod 766 {} +"
Change permissions to 644 for all files under the /app/dir tree,"#!/bin/bash

find dir -type f -exec chmod 0644 {} +"
Move file test.txt from directory dir1 to dir2 in the current directory,"#!/bin/bash
mv dir1/test.txt dir2"
Count the number of same lines in 'file1.txt' and 'file2.txt',"#!/bin/bash

comm -12 <(sort file1.txt | uniq) <(sort file2.txt | uniq) | wc -l"
Count the number of different lines in 'file1.txt' and 'file2.txt',"#!/bin/bash

comm -3 <(sort file1.txt | uniq) <(sort file2.txt | uniq) | wc -l"
Display 12345 backwards,"#!/bin/bash

echo 12345 | rev"
Display hostname,"#!/bin/bash

uname -n"
"Display kernel name, release, and version","#!/bin/bash

uname -s -r -v"
"Display machine architecture, ie. x86_64","#!/bin/bash

uname -m"
Delete all files in folder 'dir' present in the current directory,"#!/bin/bash

find dir -type f -exec rm -f {} +"
Delete all '.c' files in folder 'dir' present in the current directory,"#!/bin/bash

find dir -type f -name ""*.c"" -exec rm -f {} +"
Delete '/app/dir' folder along with all files/folders present in it,"#!/bin/bash

rm -rf /app/dir"
Take filename as command line argument input and display the content of the filename,"#!/bin/bash

cat $1"
Delete file test.json from the current directory,"#!/bin/bash
rm test.json"
Take filename and a target directory as command line argument input and move filename to the target directory,"#!/bin/bash

mv $1 $2"
Make the file run.py executable,"#!/bin/bash
chmod +x run.py"
Move all the files from directory dir1 to dir2 in the current directory,"#!/bin/bash
mv dir1/* dir2"
Move all .txt files from directory dir1 to dir2 in the current directory,"#!/bin/bash
mv dir1/*.txt dir2"
Copy all .txt files from directory dir1 to dir2 in the current directory,"#!/bin/bash
cp -r dir1/*.txt dir2"
What is the bash command to show the free space on all filesystems?,"#!/bin/bash
df"
What is the bash command which lists the name and pids of the top 5 processes by percentage of CPU usage?,"#!/bin/bash
ps -eo pcpu,pid,cmd k -pcpu | head -10"
What is the bash command which shows how much free memory a system has?,"#!/bin/bash
free -m"
What is the bash command which shows how much free space there is on the root filesystem?,"#!/bin/bash
df -h /"
What is the bash command that shows the disk space used by the directory /var/log?,"#!/bin/bash
du -sh /var/log"
What is the bash command to show the last date and time the system was rebooted?,"#!/bin/bash
uptime -s
#last reboot"
What is the bash command which shows how long the system has been up?,"#!/bin/bash
uptime"
What is the bash command to show who is currently logged into the system?,"#!/bin/bash
who"
What is the bash command to install wget on Redhat without user input?,"#!/bin/bash
yum install wget -y"
How do I set my user's time zone to Los Angeles in bash?,"#!/bin/bash
export TZ=America/Los_Angeles"
What is the bash command to show the version of the kernel?,"#!/bin/bash
uname -r"
What is the bash command to show the version of the operating system?,"#!/bin/bash
cat /etc/os-release"
What is the bash command to find the largest file under my home directory?,"#!/bin/bash
find ~ -type f -printf ""%s %f\\n"" | sort -n | tail -1"
What is the bash command to make data.dat readable by just the owner?,"#!/bin/bash
chmod 0600 data.dat"
What is the bash command to set the file creation mask so that only the owner has file write permission?,"#!/bin/bash
umask 022"
What is the bash command to create a new file called data.dat with a size of 512K bytes?,"#!/bin/bash
fallocate -l 512K data.dat"
What is the bash command to create an ext3 filesystem in my existing file named disk.img?,"#!/bin/bash
mkfs.ext3 disk.img"
What is the bash command to set the system's timezone to Los Angeles?,"#!/bin/bash
timedatectl set-timezone America/Los_Angeles"
What is the bash command to create a new group called slackers?,"#!/bin/bash
groupadd slackers"
What is the bash command to add user test to the group called slackers?,"#!/bin/bash
usermod -a -G slackers test"
What is the bash command to add user test to the slackers group as administrator?,"#!/bin/bash
gpasswd -A test slackers"
What is the bash command to remove the group password from the slackers group?,"#!/bin/bash
gpasswd -r slackers"
What is the bash command to restrict access of all users in the group named slackers?,"#!/bin/bash
gpasswd -R slackers"
What is the bash command to remove user test from the slackers group?,"#!/bin/bash
gpasswd -d test slackers"
What is the bash command to remove the slackers group?,"#!/bin/bash
groupdel slackers"
What is the bash command to add a new user named dodger?,"#!/bin/bash
useradd dodger"
What is the bash command to add a login for a new user named dodger which expires 90 days from today?,"#!/bin/bash
useradd -e $(date -d ""+90 days"" +%Y-%m-%d) -m dodger"
What is the bash command which will give me the date 90 days from today?,"#!/bin/bash
date --date=""90 days"""
What is the bash command to create a new systems group called hackers?,"#!/bin/bash
groupadd -r hackers"
What is the bash command to lock user snoopy's account?,"#!/bin/bash
# usermod -L snoopy
passwd -l snoopy"
What is the bash command to force user snoopy to change their password at next login?,"#!/bin/bash
passwd -e snoopy"
What is the bash command to modify the access time of my file data.dat to be 12:00 on 2022-12-31?,"#!/bin/bash
touch -a -t 202212311200 data.dat"
What is the bash command to create a FIFO named myfifo in /tmp?,"#!/bin/bash
mknod /tmp/myfifo p"
"What is the bash command to insert ""#!/usr/bin/python3"" at the top of each *.py files under the current directory?","#!/bin/bash
find . -name ""*.py"" | xargs sed -i '1i #!/usr/bin/python3'"
"What is the bash command to rename all of my files named ""pgm?.py"" by replacing the string ""pgm"" with ""pgm00""?","#!/bin/bash
rename pgm pgm00 pgm?.py"
"What is the bash command to prefix every non-blank line in file.log with the string ""stdout ""?","#!/bin/bash
sed -i -e '/^$/!s/^/stdout /' file.log"
"What is the bash command to change the file extension from "".mpg"" to "".avi"" for every file in directory /home/test/uploads?","#!/bin/bash
# BAM: for f in /home/test/uploads/*.mpg; do mv ""$f"" ""${f%.mpg}.avi""; done
rename .mpg .avi uploads/*"
What is the bash command to prefix the line number to every line in file.log?,"#!/bin/bash
# BAM:  cat -n file.log
nl -ba file.log"
What is the bash command to make the file pretty-print.sh executable?,"#!/bin/bash
chmod +x pretty-print.sh"
What is the bash command to append all PNG and JPG files to the existing tar archive file images.tar?,"#!/bin/bash
tar -rf images.tar *.png *.jpg"
"What is the bash command to calculate the md5 checksum of every file under the directory named ""Downloads""?","#!/bin/bash
find Downloads -type f -exec md5sum {} \;"
What is the bash command to change the group ownership to slackers of my file named download.dat?,"#!/bin/bash
# test must be a member of slackers
chgrp slackers download.dat"
What is the bash command to count all of the directories under my home directory?,"#!/bin/bash
find . -type d | wc -l"
What is the bash command to list the *.dat files in the current directory in ascending order by size?,"#!/bin/bash
ls -lSr *.dat"
What is the bash command to create the path src/vpd/vpd_sliop/new without an error if the path already exists?,"#!/bin/bash
mkdir -p src/vpd/vpd_sliop/new"
What is the bash command to list all files in my Downloads directory which have not been accessed within the last 3 weeks?,"#!/bin/bash
find Downloads -type f -atime +21"
What is the bash command to count the total number of lines in the *.c files under my src directory?,"#!/bin/bash
find src -name ""*.c"" -exec cat {} \; | wc -l"
What is the bash command to find all *.c and *.h files under the src directory containing the pattern TODO and print just the file names?,"#!/bin/bash
find src \( -name ""*.c"" -o -name ""*.h"" \) -exec grep -l TODO {} \;"
"How can I use a bash script to calculate the number of days between the dates Jan 12, 2023 and Jan 20, 2024?","#!/bin/bash
echo $(( ( $(date -d ""Jan 20, 2024"" +""%s"") - $(date -d ""Jan 12, 2023"" +""%s"") ) / (24*60*60) ))"
What is the bash command to show the fully-qualified domain name of my host?,"#!/bin/bash
hostname -f"
What is the bash script which searches the directory /home/test/downloads for symbolic links to files in /home/test/uploads and adds the name of the target file to the file uploads.targets in /home/test?,"#!/bin/bash

find /home/test/downloads -type l | while read -r line; do
  target=$(readlink -f ""$line"")

  if [[ $(dirname $target) == ""/home/test/uploads"" ]]; then
    filename=$(basename ""$target"")
    echo ""$filename"" >> /home/test/uploads.targets
  fi
done"
"What is the bash script which, for each user in /etc/shadow, prints out the number of days before thair password expires?","#!/bin/bash

while IFS=: read -r user pass last min max warn inactive account; do
  # echo $user $last $min $max $warn $inactive $account
  if [[ -z $max ]]; then
    continue
  fi

  # Calculate the number of days until the password expires
  days=$(( ($last + $max - ( $(date +%s) / 86400) ) ))

  # Print out the user and the number of days until their password expires
  echo ""$user: password expires in $days days""
done < /etc/shadow"
What is the bash script which replaces the cd command with a function that automatically calls ls after successfully changing directory?,"#!/bin/bash

cd() {
    builtin cd ""$@"" && ls
}"
What is the bash script which checks for duplicate user names in /etc/passwd?,"#!/bin/bash

# Check if the user running the script is root
if [ ""$(id -u)"" != ""0"" ]; then
    echo ""This script must be run as root""
    exit 1
fi

# Read each line from /etc/passwd
while IFS=: read -r username x uid gid gecos home shell
do
    # Count the number of occurrences of the username
    count=$(grep -c -E ""^$username"" /etc/passwd)

    # If the count is greater than 1, print a message
    if [ ""$count"" -gt 1 ]; then
        echo ""Duplicate user name: $username""
    fi
done < /etc/passwd"
What is the bash script which checks that each user's group in /etc/passwd exists in /etc/group?,"#!/bin/bash

# Read /etc/passwd file
while IFS=: read -r user x uid gid gecos home shell; do
  # Check if group exists in /etc/group
  grep -q "":$gid:"" /etc/group
  if [ $? -ne 0 ]; then
    echo ""Group $gid for user $user does not exist in /etc/group""
  fi
done < /etc/passwd"
What is the bash script which takes a list of process ids and prints only those that have a parent pid of 1?,"#!/bin/bash

# Check if the argument is provided
if [ -z ""$1"" ]; then
    echo ""Usage: $0 <pid1> <pid2> ...""
    exit 1
fi

# Iterate through the list of pids
for pid in ""$@""; do
    # Check if the parent pid is 1
    ppid=$(ps -o ppid= --no-headers ""$pid"")
    if [[ -n ""$ppid""  &&  $ppid -eq 1 ]]
    then
        echo ""$pid""
    fi
done"
What is the bash script which identifies the user who owns the largest number of files under /home?,"#!/bin/bash
#
# Write a bash script which identifies the user who owns the highest number of files under /home.
#

# Initialize variables
max_files=0
max_user=""""

# Loop through all users in /home
for user in /home/*; do
    # Skip directories that are not users
    if [[ ! -d ""$user"" ]]; then
        continue
    fi

    # Count the number of files owned by the user
    num_files=$(find ""$user"" -type f -user ""$(basename ""$user"")"" | wc -l)

    # Update the maximum if necessary
    if (( num_files > max_files )); then
        max_files=$num_files
        max_user=$(basename ""$user"")
    fi
done

# Print the user with the most files
echo ""User with the most files: $max_user"""
What is the bash script which identifies the group that owns the largest number of files under /home?,"#!/bin/bash
#
# Write a bash script which identifies the group that owns the highest number of files under /home.
#

# Find files under /home and get group ownership information
find /home -type f -exec stat -c '%G' {} + |

# Count the number of files per group
sort | uniq -c |

# Find the group with the highest count
awk '$1 > max { max = $1; group = $2 } END { print group, max }' max=0"
What is the bash script to list all groups which have two or more members?,"#!/bin/bash
#
# Write a bash script to list all group which have two of more members.
#

for group in $(getent group | cut -d: -f1); do
  members=$(getent group $group | cut -d: -f4 | tr ',' '\n' | sort | uniq)
  if [ $(echo ""$members"" | wc -l) -gt 1 ]; then
    echo ""Group: $group""
    echo ""Members: $members""
  fi
done"
What is the bash script which converts its 32-bit argument from hex to BCD?,"#!/bin/bash
#
# Write a bash script which converts its 32-bit argument from hex to BCD.
#
# 32-bit number: we'll need 4*ceil(32/3) bits or 44 bits
#
# This code expanded to handle up to 48-bit input
#  - 4*ceil(48/3) is 64 bits
#

function add() {
    local bcd=$1
    for(( i=0; i<16; i++ ))
    do
        n=$(( 4*i ))
        bcd=$(( ((bcd >> $n) & 0xF) < 5 ? bcd : (bcd + (3 << $n)) ))
    done
    echo $bcd
}

# Check if the argument is a 32-bit hexadecimal number
hex=$1
hex=${hex/#0X/}
hex=${hex/#0x/}
if [[ $hex =~ ^[0-9A-Fa-f]*$ ]]; then
    hex=0x$hex
    if (( $hex < (1<<48) ))
    then
        bcd=0
        for(( i=0; i<47; i++ ))
        do
            bcd=$(( bcd << 1 | (hex>>47) & 1 )); hex=$(( hex << 1 ))
            #printf ""%2d: %X --> "" $i $bcd
            bcd=$(add $bcd)
            #printf ""%X\n"" $bcd
        done
        bcd=$(( bcd << 1 | (hex>>47) & 1 ))
        # Print as hex but will look like decimal
        printf ""%X\n"" $bcd
    else
        printf ""%X is too large\n"" $hex
    fi
else
  # Print an error message if the argument is not a 32-bit hexadecimal number
  echo ""Error: $1 is not a 32-bit hexadecimal number.""
fi"
What is the bash script to find the greatest common divisor of its two integer arguments?,"#!/bin/bash
#
# Write a bash script to find the greatest common divisor of its two integer arguments.
#
# ./gcd.sh 9504167 12677501
# ./gcd.sh 42 56
#

# Function to find the GCD of two numbers
gcd() {
    local a=$1
    local b=$2
    #printf ""\n%d %d\n"" $a $b
    while [ $a -ne $b ]; do
        if [ $a -gt $b ]; then
            a=$(( a - b ))
        else
            b=$(( b - a ))
        fi
        #printf ""%d %d\n"" $a $b
    done
    echo $a
}

# Check if the correct number of arguments are provided
if [ ""$#"" -ne 2 ]; then
    echo ""Usage: $0 <integer1> <integer2>""
    exit 1
fi

# Call the gcd function with the provided arguments
result=$(gcd ""$1"" ""$2"")

# Print the result
echo ""The GCD of $1 and $2 is: $result"""
What is the bash script which outputs the first n Mersenne prime numbers where n is given as an argument to the script?,"#!/bin/bash
#
# 2^2 - 1 = 3 is a Mersenne prime
# 2^3 - 1 = 7 is a Mersenne prime
# 2^5 - 1 = 31 is a Mersenne prime
# 2^7 - 1 = 127 is a Mersenne prime
# 2^13 - 1 = 8191 is a Mersenne prime
# 2^17 - 1 = 131071 is a Mersenne prime
# 2^19 - 1 = 524287 is a Mersenne prime
# 2^31 - 1 = 2147483647 is a Mersenne prime
#

# Function to check if a number is prime
is_prime() {
    local i

    if (( $1 <= 1 ))
    then
        return 1
    fi

    for(( i=2; i*i <= ${1}; i++ ))
    do
        if (( $1 % i == 0 ))
        then
            return 1
        fi
    done

    return 0
}

if (( $# < 1 ))
then
    echo ""Usage: $0 <number_of_mersenne_primes>"" >&2
    exit 1
fi

# Initialize counter and Mersenne prime count
n=0
mersenne_primes=0

# Loop through numbers starting from 2
while (( mersenne_primes < $1 ))
do
    # Calculate Mersenne number
    mersenne=$(( $(echo ""2^$n"" | bc) -1))

    # Check if Mersenne number is prime
    if is_prime $mersenne
    then
        echo ""2^$n - 1 = $mersenne is a Mersenne prime""
        mersenne_primes=$((mersenne_primes + 1))
    fi

    # Increment counter
    n=$((n + 1))
done"
What is the bash script which outputs the square root of two after four iterations of the Newton-Raphson method using its argument as the initial guess?,"#!/bin/bash

# Initialize variables
x=2
g=$1
iterations=4

echo ""Iteration 1: $g""

for ((i=2; i<=iterations; i++)); do
  g=$(echo ""($g + $x / $g) / 2"" | bc -l)
  #echo ""Iteration $i: $g""
done

echo ""The square root of two is approximately $g"""
What is the bash script that outputs the first n prime numbers where n is given as its input argument?,"#!/bin/bash
#
# Write a bash script to output the first n prime numbers where n is given as its input argument.
#

# Initialize a counter for the number of primes found
count=0

# Initialize the first prime number
n=2

# Loop until we have found 100 prime numbers
while [ $count -lt $1 ]
do
  # Use the factor command to check if the number is prime
  if factor $n | grep -q ""^$n: $n$""
  then
    # If the number is prime, increment the counter and print it
    count=$((count + 1))
    echo $n
  fi

  # Increment the number to check
  n=$((n + 1))
done"
What is the bash script which finds the median of the values in numbers.txt?,"#!/bin/bash
#
# 0 1 2 3  4  5  6  7  8  9  10 11 12 13 14
# 3 5 7 12 13 14 21 23 23 23 23 29 40 56
#
# (21+23)/2 --> 22
#

# Sort and load the values from median.txt into an array
mapfile -t sorted <<< ""$(sort -n numbers.txt)""
#sorted=$(sort -n numbers.txt | (mapfile -t list; echo ${list[@]}))

# Calculate the length of the sorted array
n=${#sorted[@]}

# Calculate the middle index of the sorted array
middle=$(( n / 2 ))

# If the length of the sorted array is even, calculate the average of the two middle values
if (( n % 2 == 0 )); then
  median=$(( (sorted[middle-1] + sorted[middle]) / 2 ))
else
  # Otherwise, just output the middle value
  median=${sorted[middle]}
fi

# Output the median value
echo ""$median"""
What is the bash script which outputs the Levenshtein distance between two strings given as arguments?,"#!/bin/bash
#
# Write a bash script which outputs the Levenshtein distance between two strings given as arguments.
# Write a bash script which computes the Levenshtein distance between to strings.
#

# Usage: ./levenshtein.sh string1 string2

function min() {
    local m=$1
    shift
    while(( $# ))
    do
        m=$(( $m < $1 ? $m : $1 ))
        shift
    done

    echo $m
}

string1=$1
string2=$2

len1=${#string1}
len2=${#string2}

declare -A matrix

for ((i=0; i<=$len1; i++))
do
    matrix[$i,0]=$i
done

for ((j=0; j<=$len2; j++))
do
    matrix[0,$j]=$j
done

for ((i=1; i<=$len1; i++))
do
    for ((j=1; j<=$len2; j++))
    do
        if [[ ${string1:i-1:1} == ${string2:j-1:1} ]]
        then
            cost=0
        else
            cost=1
        fi
        x=$(( i-1 ))
        y=$(( j-1 ))
        matrix[$i,$j]=$(min matrix[$x,$j]+1 matrix[$i,$y]+1 matrix[$x,$y]+$cost)
#        echo ""matrix[$i,$j]="" $((matrix[$i,$j])) "" (cost=$cost)""
    done
#    for(( j=0; j<$len2; j++ ))
#    do
#        printf ""matrix[%d,%d]=%d\n"" $i $j ${matrix[$i,$j]}
#    done
done

echo ${matrix[$len1,$len2]}"
What is the bash script that uses a binary search to find its argument in the file list.txt and prints the number of the matching line?,"#!/bin/bash
#
# Write a bash script that uses a binary search to find its argument in the file list.txt and print the number of the matching line.
#

binary_search() {
    local start=$1
    local end=$2
    local mid=$(( (start + end) / 2 ))
    local target=$3

    if [ $start -gt $end ]; then
        echo -1
        return
    fi

    #printf ""start=%d, mid=%d, end=%d\n"" $start $mid $end

    line=$(sed -n ""${mid}p"" list.txt)
    if [ ""$target"" = ""$line"" ]
    then
        echo $mid
        return
    fi

    if [ ""$target"" -lt ""$line"" ]
    then
        binary_search $start $((mid - 1)) $target
    else
        binary_search $((mid + 1)) $end $target
    fi
}

if [ $# -ne 1 ]; then
    echo ""Usage: $0 <list>""
    exit 1
fi

result=$(binary_search 1 $(cat list.txt | wc -l | awk '{print $1}') $1)

if [ $result -eq -1 ]; then
    echo ""$1 not found""
else
    echo ""$1 found on line: $result""
fi"
What is the bash script to output the number of prime numbers between its two arguments?,"#!/bin/bash

# Function to check if a number is prime
is_prime() {
    local n=$1
    local i
    if (( n == 2 ))
    then
        return 0
    elif (( n < 2  ||  n % 2 == 0 ))
    then
        return 1
    fi

    for (( i=3; i*i <= n; i+=2 ))
    do
        if (( n % i == 0 ))
        then
            return 1
        fi
    done

    return 0
}

# Initialize counter for prime numbers
count=0

m=$1
n=$2

for (( i=m; i<=n; i++ ))
do
    # Check if the number is prime
    if is_prime $i
    then
        # Increment counter if it's prime
        echo $i
        count=$((count + 1))
    fi
done

# Print the result
echo ""There are $count prime numbers between $m and $n."""
What is the bash script that finds all the twin primes between its two input arguments?,"#!/bin/bash
#
# A twin prime is a prime number that is either 2 less or 2 more than another prime number—for example, the pair (3, 5), (5, 7), and (11, 13) are twin primes.

# Function to check if a number is prime
is_prime() {
  local n=$1
  local i
  if (( $n <= 1 ))
  then
    return 1
  fi
  for (( i=2; i*i <= ${1}; i++ ))
  do
    if (( $n % i == 0 ))
    then
      return 1
    fi
  done
  return 0
}

# Check if input arguments are provided
if (( $# < 2 ))
then
    echo ""Usage: $0 <start> <end>""
    exit 1
fi

for (( i=$1; i<=$2; i++ ))
do
    if is_prime $i
    then
        j=$(( $i + 2 ))

        if is_prime $j
        then
            echo ""$i $j""
        fi
    fi
done"
What is the bash script that outputs the nth Fibonacci number where n is passed as an argument?,"#!/bin/bash
#
# Write a bash script to output the nth Fibonacci number where n is passed as an argument.
# Write a bash script which takes an argument n and finds the nth Fibonacci number.
#
# 1 1
#
# 10 55
#
# 25 75025
#
# 50 12586269025

if [ -z ""$1"" ]
then
    echo ""Usage: $0 <n>""
    exit 1
fi

n=$1

if [ ""$n"" -lt 1 ]
then
    echo ""Error: n must be a positive integer.""
    exit 1
fi

# Initialize the first two Fibonacci numbers
a=0
b=1

# Calculate the nth Fibonacci number
for ((i=2; i<=$n; i++))
do
    c=$((a+b))
    a=$b
    b=$c
done

echo ""The $nth Fibonacci number is $b"""
What is the bash script which outputs the Luhn check digit for its input argument?,"#!/bin/bash
#
# luhn 1789372997 is 4
# luhn 49015420323751 is 8
# luhn 4512345678901234 is 9
# luhn 1234567 is 4
# luhn 872560021439746445 is 9
# luhn 601178865689998 is 0
# luhn 4532015264668453 is 7

luhn() {
    local num=$1
    local len=${#1}
    local result=0

    for (( i=$len-1; i>=0; i-=2 )); do
        double=$(( (num % 10) * 2 ))
        num=$((num / 10))
        if (( double > 9 )); then
            double=$((double - 9))
        fi
        #echo $double
        result=$(( result + double ))
        result=$(( result + (num % 10) ))
        #echo $(( num % 10 ))
        num=$((num / 10))
    done

    #echo $result
    echo $(( (10 - result % 10) % 10 ))
}

echo Check digit is $(luhn $1)"
What is the bash script which outputs the Burrows-Wheeler transform of its argument string?,"#!/bin/bash
#
# Mississippi
# ipssm$pissii
#
# Bookkeeper
# r$kepkoobee
#
# Accommodation
# n$dacotomomcia
#

# Function to compute the Burrows-Wheeler Transform
bwt() {
    local input=""$1""""$""
    local len=${#input}
    local rotations=()

    # Generate all rotations of the input string
    for (( i=0; i<len; i++ )); do
        rotations+=(""${input:i}${input:0:i}"")
    done

    # Sort the rotations lexicographically
    IFS=$'\n' sorted=($(sort -s <<<""${rotations[*]}""))
    unset IFS

    # Extract the last column of the sorted rotations
    local bwt_result=""""
    for rotation in ""${sorted[@]}""; do
        bwt_result+=""${rotation: -1}""
    done

    echo ""$bwt_result""
}

# Check if an argument is provided
if [ -z ""$1"" ]; then
    echo ""Usage: $0 <string>""
    exit 1
fi

bwt ""$1"""
What is the bash script that outputs the inverse Burrows-Wheeler transform of its input argument?,"#!/bin/bash
#
# mississippi
# 'ipssm$pissii'
#
# bookkeeper
# 'r$kepkoobee'
#
# accommodation
# 'n$dacotomomcia'
#

# Function to perform inverse Burrows-Wheeler transform
ibwt() {
    local bwt=""$1""      # $(echo ""$1"" | sed -e 's+\$+\\$+g')
    local len=${#bwt}
    local rotations=()
    local original_str=""""

    for(( i=0; i<len; i++ ))
    do
        rotations[$i]=${bwt:i:1}
    done

    for(( j=0; j<len-1; j++ ))
    do
        IFS=$'\n' rotations=($(sort -s <<<""${rotations[*]}""))
        unset IFS

        for(( i=0; i<len; i++ ))
        do
            rotations[$i]=${bwt:i:1}${rotations[i]}
        done
    done

    IFS=$'\n' rotations=($(sort -s <<<""${rotations[*]}""))
    unset IFS

    for(( i=0; i<len; i++ ))
    do
        if [[ ""${rotations[i]: -1}"" == ""$"" ]]; then
            #answer=""${rotations%$}""
            answer=""${rotations[i]%$}""
        fi
    done

    echo Answer: $answer
}

# Check if an argument is provided
if [ -z ""$1"" ]; then
    echo ""Usage: $0 <bwt_string>""
    exit 1
fi

ibwt $1"
What is the bash script which converts its argument from base 7 to base 3?,"#!/bin/bash
#
#  66666 212001110
# 100000 212001111
# 111245 222222222
# 666666 12222101100
#

# Function to convert a number from base 7 to base 3
base7_to_base3() {
    local num=$1
    local result=""""
    local remainder=0

    # Check if the input is a valid base 7 number
    if ! [[ $num =~ ^[0-6]+$ ]]; then
        echo ""Error: Invalid base 7 number""
        return 1
    fi

    # Convert from base 7 to decimal
    local decimal=0
    local power=0
    for ((i=${#num}-1; i>=0; i--)); do
        decimal=$((decimal + ${num:i:1} * (7 ** power)))
        power=$((power + 1))
    done

    # Convert from decimal to base 3
    while [ $decimal -gt 0 ]; do
        remainder=$((decimal % 3))
        result=""${remainder}${result}""
        decimal=$((decimal / 3))
    done

    echo ""${result:-0}""
}

# Check if an argument is provided
if [ $# -eq 0 ]; then
    echo ""Usage: $0 <base7_number>""
    exit 1
fi

# Call the conversion function
base7_to_base3 ""$1"""
What is the bash script which computes the Hamming weight of its argument given as a decimal number?,"#!/bin/bash

# Function to compute Hamming weight
hamming_weight() {
    local num=$1
    local weight=0

    # Convert decimal to binary
    local binary=$(echo ""obase=2; $num"" | bc)

    # Count set bits
    for ((i=0; i<${#binary}; i++)); do
        if [ ""${binary:$i:1}"" == ""1"" ]; then
            ((weight++))
        fi
    done

    echo $weight
}

# Check if a number is provided
if [ -z ""$1"" ]; then
    echo ""Usage: $0 <decimal_number>""
    exit 1
fi

# Compute Hamming weight
result=$(hamming_weight ""$1"")
echo ""Hamming weight of $1 is $result"""
